ID,LID,LinkID
1,71052,6703
2,71055,6735
3,71086,11455
4,71115,6685
5,71158,6660
6,71206,6659
7,71227,6624
8,71235,6771
9,71251,11550
10,71301,6810
11,71352,7617
12,71368,18700
13,71384,12403
14,71397,6933
15,71405,6945
16,71460,7604
17,71513,7577
18,71553,7548
19,71611,7526
20,71658,7023
21,71693,7051
22,71709,7055
23,71779,16369
24,71802,1765
25,71859,7499
26,71912,7467
27,71954,7437
28,72108,9190
29,72114,8904
30,72118,8885
31,72126,8852
32,72133,8829
33,72145,8801
34,72156,8777
35,72165,8763
36,72184,8745
37,72212,8716
38,72245,8680
39,72279,16837
40,72301,2118
41,72342,2113
42,72383,2028
43,72422,1994
44,72454,1991
45,72484,1946
46,72505,1914
47,72521,15078
48,72535,1848
49,72547,1820
50,72566,1776
51,72687,9436
52,72713,6215
53,72725,6182
54,72738,6151
55,72762,6113
56,72796,6079
57,72834,6036
58,72902,6031
59,72916,5940
60,72947,5926
61,72969,5888
62,73008,5859
63,73031,5799
64,73087,5777
65,73121,3949
66,73161,3903
67,73186,3869
68,73201,3861
69,73246,4212
70,73272,4104
71,73296,4076
72,73335,4035
73,73379,5706
74,73402,5698
75,73421,5665
76,73504,5636
77,73560,262
78,73588,221
79,73617,211
80,73683,203
81,73720,152
82,73761,137
83,73789,123
84,73852,112
85,73944,92
86,74060,29
87,74105,4764
88,74120,4720
89,74152,4695
90,74172,4630
91,74212,4595
92,74240,4549
93,74247,4505
94,74254,4438
95,74336,4428
96,74363,3854
97,74386,3831
98,74425,3807
99,74449,3755
100,74480,3734
101,74502,3702
102,74535,3689
103,74555,3666
104,74588,3645
105,74605,3614
106,74664,3589
107,74712,3512
108,74801,3469
109,74915,3388
110,74980,3233
111,75007,7368
112,75048,8996
113,75133,7346
114,75153,9117
115,75321,343
116,75360,334
117,75422,320
118,75486,3175
119,75565,4908
120,75615,1301
121,75700,1265
122,75728,1205
123,75780,1196
124,75839,1155
125,75899,1099
126,75995,1050
127,76146,2646
128,76534,974
129,76547,9808
130,76678,9806
131,76827,2649
132,76864,4958
133,76908,5017
134,76938,5054
135,76984,5124
136,77042,5190
137,77072,5213
138,77098,5245
139,77126,5277
140,77184,5367
141,77271,5509
142,77302,3108
143,77335,3070
144,77358,3025
145,77405,2997
146,77434,2924
147,77532,2892
148,77554,10929
149,77581,10911
150,77659,10821
151,77678,10819
152,77706,8597
153,77728,8563
154,77751,8521
155,77780,8478
156,77790,8474
157,77801,8433
158,77860,8341
159,77897,8272
160,77918,8233
161,77940,8199
162,77958,8182
163,77992,8117
164,78038,8031
165,78072,7987
166,78156,7983
167,78266,11943
168,78380,11572
169,78424,6862
170,78468,6889
171,78511,11731
172,78521,18658
173,78562,11095
174,78599,11084
175,78649,18310
176,78693,11876
177,78741,18377
178,78793,11062
179,78849,18184
180,78888,11046
181,78943,18119
182,78968,11234
183,78986,11241
184,79005,12496
185,79038,12487
186,79048,11371
187,79072,11242
188,79110,11637
189,79162,12696
190,79225,11695
191,79276,18687
192,79325,12595
193,79337,18726
194,79358,11019
195,79382,18006
196,79401,18258
197,79426,6771
198,79469,11548
199,79493,1912
200,79509,15125
201,79518,12794
202,79538,15078
203,79558,14819
204,79566,12816
205,79582,1846
206,79598,14488
207,79608,12838
208,79627,14415
209,79643,17054
210,79664,1775
211,79697,16570
212,79709,17123
213,79722,16989
214,79750,13785
215,79756,12879
216,79766,14131
217,79771,12858
218,79786,12752
219,79805,13154
220,79814,13625
221,79824,12932
222,79834,17739
223,79842,12953
224,79850,13978
225,79858,13925
226,79870,14544
227,79876,13112
228,79890,14326
229,79897,12977
230,79907,14680
231,79914,12998
232,79923,14876
233,79931,13089
234,79941,15012
235,79951,13027
236,79962,15182
237,79969,13067
238,79979,13485
239,79991,15316
240,79995,13039
241,79999,13336
242,80008,15260
243,80032,16856
244,80035,8801
245,80045,14905
246,80053,14622
247,80057,14574
248,80061,16910
249,80070,14269
250,80079,14219
251,80083,8880
252,80103,13254
253,80119,8900
254,80127,17540
255,80140,13211
256,80146,13516
257,80154,12895
258,80163,6150
259,80170,6145
260,80178,6179
261,80187,6182
262,80192,6205
263,80199,6212
264,80211,15766
265,80227,15752
266,80255,15821
267,80270,15854
268,80283,15915
269,80332,16018
270,80359,16101
271,80369,16142
272,80372,16108
273,80400,16204
274,80409,3594
275,80440,15558
276,80462,15630
277,80481,15707
278,80483,15708
279,80493,15997
280,80501,15920
281,80526,15848
282,80529,15826
283,80539,15827
284,80560,15709
285,80589,16800
286,80595,13171
287,80600,16553
288,80628,6809
